id_2000,id_2004,area_m2_2000,area_m2_2004,habitat_2000,habitat_2004,costdist_2000,costdist_2004,elev_2000,elev_2004,edge_2000,edge_2004,track_2000,track_2004,restoration_2000,restoration_2004,zone_2000,zone_2004,,monitoring_site_2000,monitoring_site_2004
36,36,16,16,blind channel,blind channel,2791.1,2791.1,6.7455578,6.7455578,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
37,37,17,17,blind channel,blind channel,2503.644,2503.644,3.845906,3.845906,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
38,38,7,7,blind channel,blind channel,2687.644,2687.644,8.4136314,8.4136314,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
39,39,72,72,blind channel,blind channel,2400.49,2400.49,2.4785011,2.4785011,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
40,40,8,8,blind channel,blind channel,2776.408,2776.408,6.7455578,6.7455578,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
41,41,9,9,blind channel,blind channel,2776.2,2776.2,6.7455578,6.7455578,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
42,42,2,2,blind channel,blind channel,2778.993,2778.993,6.7455578,6.7455578,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
43,43,31,31,blind channel,blind channel,2381.212,2381.212,2.298918,2.298918,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
44,44,16,16,blind channel,blind channel,2760.751,2760.751,6.7455578,6.7455578,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
45,45,18,18,blind channel,blind channel,2489.038,2489.038,3.845906,3.845906,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
46,46,6,6,distributary channel,distributary channel,2625.082,2625.082,0.6856955,0.6856955,0,0,1,1,,,Stanwood_Camano,Stanwood_Camano,,,
47,47,40,40,blind channel,blind channel,2384.676,2384.676,2.298918,2.298918,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
48,48,13,13,blind channel,blind channel,2630.789,2630.789,0.6824147,0.6824147,0,0,1,1,,,Stanwood_Camano,Stanwood_Camano,,,
49,49,28,28,blind channel,blind channel,2381.555,2381.555,2.298918,2.298918,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
50,50,15,15,blind channel,blind channel,2672.452,2672.452,7.2105041,7.2105041,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
51,51,16,16,blind channel,blind channel,2474.638,2474.638,4.0094528,4.0094528,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
52,52,16,16,blind channel,blind channel,2643.567,2643.567,0.6791338,0.6791338,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
53,53,9,9,blind channel,blind channel,2746.609,2746.609,7.0715532,7.0715532,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
54,54,3680,3680,distributary channel,distributary channel,2637.647,2637.647,0.6889763,0.6889763,0,0,1,0,,,Stanwood_Camano,Stanwood_Camano,,,
55,55,74,74,blind channel,blind channel,2365.741,2365.741,2.077909,2.077909,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
56,56,12,12,blind channel,blind channel,2743.28,2743.28,7.0715532,7.0715532,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
57,57,4,4,blind channel,blind channel,2749.28,2749.28,7.0715532,7.0715532,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
58,58,17,17,blind channel,blind channel,2658.967,2658.967,0.6728803,0.6728803,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
59,59,16,16,blind channel,blind channel,2459.91,2459.91,3.9542241,3.9542241,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
60,60,9,9,blind channel,blind channel,2283.064,2283.064,3.2333741,3.2333741,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
61,61,64,64,blind channel,blind channel,2349.928,2349.928,2.077909,2.077909,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
62,62,13,13,blind channel,blind channel,2374.57,2374.57,2.077909,2.077909,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
63,63,16,16,blind channel,blind channel,2729.845,2729.845,6.7674861,6.7674861,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
64,64,1525,1525,distributary channel,distributary channel,2649.883,2649.883,0.6922572,0.6922572,1,1,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
65,65,8,8,blind channel,blind channel,2571.593,2571.593,4.8980522,4.8980522,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
66,66,15,15,blind channel,blind channel,2445.597,2445.597,3.835191,3.835191,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
67,67,7,7,blind channel,blind channel,2307.315,2307.315,5.1561761,5.1561761,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
68,68,16,16,blind channel,blind channel,2266.957,2266.957,3.2333741,3.2333741,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
69,69,66,66,blind channel,blind channel,2333.821,2333.821,1.981459,1.981459,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
70,70,9,9,blind channel,blind channel,2389.505,2389.505,2.5143671,2.5143671,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
71,71,16,16,blind channel,blind channel,2714.91,2714.91,6.7674861,6.7674861,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
72,72,8,8,blind channel,blind channel,2557.693,2557.693,4.8980522,4.8980522,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
73,73,12,12,blind channel,blind channel,2430.369,2430.369,3.835191,3.835191,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
74,74,5,5,blind channel,blind channel,2566.108,2566.108,4.8980522,4.8980522,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
75,75,13,13,blind channel,blind channel,2556.986,2556.986,4.8980522,4.8980522,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
76,76,75,75,blind channel,blind channel,2318.3,2318.3,1.734925,1.734925,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
77,77,19,19,blind channel,blind channel,2251.315,2251.315,3.3010621,3.3010621,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
78,78,11,11,blind channel,blind channel,2423.005,2423.005,3.712245,3.712245,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
79,79,16,16,blind channel,blind channel,2292.244,2292.244,1.475095,1.475095,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
80,80,44,44,blind channel,blind channel,2559.986,2559.986,4.8980522,4.8980522,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
81,81,15,15,blind channel,blind channel,2700.011,2700.011,6.4533849,6.4533849,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
82,82,52,52,blind channel,blind channel,2302.194,2302.194,1.616878,1.616878,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
83,83,47,47,blind channel,blind channel,2574.486,2574.486,5.2131572,5.2131572,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
84,84,25,25,blind channel,blind channel,2545.744,2545.744,4.8156748,4.8156748,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
85,85,31,31,blind channel,blind channel,2544.329,2544.329,4.8156748,4.8156748,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
86,86,20,20,blind channel,blind channel,2235.587,2235.587,3.3013871,3.3013871,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
87,87,43,43,blind channel,blind channel,2295.744,2295.744,1.5976551,1.5976551,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
88,88,12,12,blind channel,blind channel,2407.277,2407.277,3.5388319,3.5388319,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
89,89,9,9,blind channel,blind channel,2295.83,2295.83,1.5976551,1.5976551,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
90,90,24,24,blind channel,blind channel,2280.173,2280.173,1.475095,1.475095,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
91,91,30,30,blind channel,blind channel,2279.673,2279.673,1.475095,1.475095,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
92,92,12,12,blind channel,blind channel,2398.206,2398.206,3.5388319,3.5388319,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
93,93,36,36,blind channel,blind channel,2589.628,2589.628,5.8950238,5.8950238,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
94,94,20,20,blind channel,blind channel,2220.359,2220.359,3.1587551,3.1587551,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
95,95,17,17,blind channel,blind channel,2309.936,2309.936,1.716795,1.716795,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
96,96,17,17,blind channel,blind channel,2684.697,2684.697,5.9998608,5.9998608,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
97,97,24,24,blind channel,blind channel,2529.43,2529.43,4.3516321,4.3516321,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
98,98,8,8,blind channel,blind channel,2540.137,2540.137,3.1219151,3.1219151,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
99,99,14,14,blind channel,blind channel,2382.22,2382.22,3.5842409,3.5842409,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
100,100,10,10,blind channel,blind channel,2525.566,2525.566,4.2734179,4.2734179,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
101,101,16,16,blind channel,blind channel,2325.093,2325.093,2.1169839,2.1169839,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
102,102,64,64,blind channel,blind channel,2263.359,2263.359,1.2467411,1.2467411,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
103,103,17,17,blind channel,blind channel,2368.356,2368.356,3.476908,3.476908,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
104,104,8,8,blind channel,blind channel,2233.181,2233.181,0.924561,0.924561,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
105,105,12,12,blind channel,blind channel,2670.919,2670.919,6.4341822,6.4341822,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
106,106,25,25,blind channel,blind channel,2605.356,2605.356,5.8950238,5.8950238,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
107,107,29,29,blind channel,blind channel,2522.066,2522.066,3.9919691,3.9919691,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
108,108,17,17,blind channel,blind channel,2683.919,2683.919,5.6285009,5.6285009,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
109,109,25,25,blind channel,blind channel,2204.717,2204.717,0.924561,0.924561,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
110,110,15,15,blind channel,blind channel,2353.285,2353.285,3.476908,3.476908,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
111,111,13,13,blind channel,blind channel,2669.141,2669.141,6.4533849,6.4533849,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
112,112,62,62,blind channel,blind channel,2247.338,2247.338,1.045001,1.045001,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
113,113,25,25,blind channel,blind channel,2659.555,2659.555,6.4533849,6.4533849,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
114,114,27,27,blind channel,blind channel,2620.963,2620.963,5.9998608,5.9998608,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
115,115,16,16,blind channel,blind channel,2337.836,2337.836,3.476908,3.476908,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
116,116,26,26,blind channel,blind channel,2644.777,2644.777,5.9998608,5.9998608,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
117,117,11,11,blind channel,blind channel,2624.499,2624.499,5.8950238,5.8950238,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
118,118,19,19,blind channel,blind channel,2630.327,2630.327,5.9998608,5.9998608,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
119,119,39,39,blind channel,blind channel,2190.161,2190.161,0.4658171,0.4658171,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
120,120,8,8,blind channel,blind channel,2639.534,2639.534,5.8950238,5.8950238,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
121,121,12,12,blind channel,blind channel,2696.197,2696.197,5.6285009,5.6285009,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
122,122,62,62,blind channel,blind channel,2231.439,2231.439,1.04027,1.04027,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
123,123,12,12,blind channel,blind channel,2217.403,2217.403,0.6608772,0.6608772,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
124,124,34,34,blind channel,blind channel,2507.202,2507.202,0.636483,0.636483,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
125,125,11,11,blind channel,blind channel,2703.061,2703.061,6.6094351,6.6094351,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
126,126,3,3,blind channel,blind channel,2700.404,2700.404,5.6285009,5.6285009,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
127,127,33,33,blind channel,blind channel,2215.039,2215.039,0.6608772,0.6608772,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
128,128,35,35,blind channel,blind channel,2213.832,2213.832,0.6608772,0.6608772,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
129,129,56,56,blind channel,blind channel,2175.104,2175.104,0.2132552,0.2132552,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
130,130,13,13,blind channel,blind channel,2492.838,2492.838,0.6233596,0.6233596,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
131,131,65,65,blind channel,blind channel,2197.847,2197.847,0.4658171,0.4658171,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
132,132,2,2,distributary channel,distributary channel,2493.131,2493.131,0.6233596,0.6233596,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
133,133,16,16,blind channel,blind channel,2716.996,2716.996,6.7568388,6.7568388,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
134,134,55,55,blind channel,blind channel,2181.655,2181.655,0.2132552,0.2132552,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
135,135,7,7,blind channel,blind channel,2272.936,2272.936,3.047262,3.047262,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
136,136,38,38,blind channel,blind channel,2162.826,2162.826,0.0610131,0.0610131,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
137,137,53,53,blind channel,blind channel,2165.619,2165.619,0.0690237,0.0690237,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
138,138,62,62,blind channel,blind channel,2162.412,2162.412,0.0610131,0.0610131,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
139,139,5368,5368,distributary channel,distributary channel,2513.489,2513.489,0.6332021,0.6332021,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
140,140,7,7,blind channel,blind channel,2731.739,2731.739,8.0900564,8.0900564,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
141,141,16,16,blind channel,blind channel,2257.708,2257.708,2.6258121,2.6258121,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
142,142,100,100,blind channel,blind channel,2148.184,2148.184,-0.0427245,-0.0427245,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
143,143,8,8,blind channel,blind channel,2487.695,2487.695,7.7137618,7.7137618,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
144,144,126,126,blind channel,blind channel,2142.32,2142.32,-0.0427245,-0.0427245,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
145,145,16,16,blind channel,blind channel,2472.245,2472.245,7.0150981,7.0150981,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
146,146,1580,1580,distributary channel,distributary channel,2521.397,2521.397,0.636483,0.636483,1,1,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
147,147,15,15,blind channel,blind channel,2243.395,2243.395,2.476135,2.476135,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
148,148,15,15,blind channel,blind channel,2457.881,2457.881,7.1813402,7.1813402,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
149,149,55,55,blind channel,blind channel,2142.784,2142.784,-0.0427245,-0.0427245,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
150,150,123,123,blind channel,blind channel,2127.764,2127.764,-0.0427245,-0.0427245,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
151,151,17,17,blind channel,blind channel,2442.396,2442.396,7.1791759,7.1791759,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
152,152,8,8,blind channel,blind channel,2413.065,2413.065,7.8761802,7.8761802,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
153,153,15,15,blind channel,blind channel,2228.96,2228.96,1.762405,1.762405,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
154,154,8,8,blind channel,blind channel,2398.645,2398.645,7.4958491,7.4958491,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
155,155,50,50,blind channel,blind channel,2156.841,2156.841,0.0335512,0.0335512,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
156,156,104,104,blind channel,blind channel,2112.914,2112.914,-0.0427245,-0.0427245,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
157,157,17,17,blind channel,blind channel,2427.961,2427.961,7.3007779,7.3007779,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
158,158,20,20,blind channel,blind channel,2213.025,2213.025,0.5872284,0.5872284,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
159,159,15,15,blind channel,blind channel,2399.08,2399.08,7.7396712,7.7396712,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
160,160,16,16,blind channel,blind channel,2412.183,2412.183,5.699235,5.699235,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
161,161,26,26,blind channel,blind channel,2172.655,2172.655,0.0335512,0.0335512,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
162,162,29,29,blind channel,blind channel,2175.069,2175.069,0.0335512,0.0335512,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
163,163,14,14,blind channel,blind channel,2397.94,2397.94,5.4385791,5.4385791,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
164,164,8,8,blind channel,blind channel,2398.147,2398.147,5.4385791,5.4385791,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
165,165,20,20,blind channel,blind channel,2174.483,2174.483,0.0335512,0.0335512,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
166,166,16,16,blind channel,blind channel,2403.476,2403.476,4.7771082,4.7771082,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
167,167,17,17,blind channel,blind channel,2384.781,2384.781,7.0030308,7.0030308,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
168,168,24,24,blind channel,blind channel,2197.504,2197.504,0.1675285,0.1675285,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
169,169,4,4,blind channel,blind channel,2202.297,2202.297,0.1675285,0.1675285,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
170,170,22,22,blind channel,blind channel,2417.597,2417.597,3.564074,3.564074,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
171,171,78,78,blind channel,blind channel,2097.479,2097.479,0.1049995,0.1049995,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
172,172,16,16,blind channel,blind channel,2385.387,2385.387,7.4958491,7.4958491,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
173,173,14,14,blind channel,blind channel,2423.649,2423.649,6.6546941,6.6546941,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
174,174,18,18,blind channel,blind channel,2433.254,2433.254,3.3985679,3.3985679,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
175,175,8,8,blind channel,blind channel,2438.441,2438.441,6.6546941,6.6546941,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
176,176,16,16,blind channel,blind channel,2413.354,2413.354,5.899003,5.899003,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
177,177,64,64,blind channel,blind channel,2190.882,2190.882,0.0653392,0.0653392,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
178,178,62,62,blind channel,blind channel,2091.03,2091.03,-0.0113914,-0.0113914,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
179,179,14,14,blind channel,blind channel,2091.151,2091.151,-0.0113914,-0.0113914,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
180,180,23,23,blind channel,blind channel,2412.32,2412.32,6.6546941,6.6546941,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
181,181,37,37,blind channel,blind channel,2193.297,2193.297,0.166046,0.166046,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
182,182,10,10,blind channel,blind channel,2428.097,2428.097,8.365634,8.365634,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
183,183,18,18,blind channel,blind channel,2448.289,2448.289,3.73172,3.73172,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
184,184,13,13,blind channel,blind channel,2398.233,2398.233,5.5609479,5.5609479,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
185,185,18,18,blind channel,blind channel,2462.496,2462.496,4.4591579,4.4591579,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
186,186,25,25,blind channel,blind channel,2390.526,2390.526,3.4506979,3.4506979,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
187,187,18,18,blind channel,blind channel,2471.012,2471.012,7.327621,7.327621,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
188,188,6,6,blind channel,blind channel,2373.745,2373.745,6.8278809,6.8278809,0,0,0,0,,,Stanwood_Camano,Stanwood_Camano,,,
