id,cnt,chk,ein,eout,area_m2,habitat,path_med,path_min,path_max,elev_m,edge,track,restoration,zone,GagueDist,monitoring_site,TideGateImpact,StartPoint
57,,,,,18,blind channel,1560.793,,,1.045000911,0,0,,Stanwood_Camano,18021.30078125,,,
58,,,,,10,blind channel,1563.708,,,3.47690773,0,0,,Stanwood_Camano,18023.71484375,,,
59,,,,,114,blind channel,1614.638,,,0.465817094,0,0,,Stanwood_Camano,18073.609375,,,
60,,,,,14,blind channel,1546.722,,,1.040270448,0,0,,Stanwood_Camano,18007.228515625,,,
61,,,,,71,blind channel,1577.391,,,0.660877168,0,0,,Stanwood_Camano,18036.0703125,,,
62,,,,,24,blind channel,1684.824,,,0.660877168,0,0,,Stanwood_Camano,18144.466796875,,,
63,,,,,58,blind channel,1877.633,,,0.660877168,0,0,,Stanwood_Camano,17920.732421875,,,
64,,,,,20,blind channel,1658.111,,,0.259280682,0,0,,Stanwood_Camano,18116.66796875,,,
65,,,,,62,blind channel,1573.306,,,0.465817094,0,0,,Stanwood_Camano,18032.484375,,,
66,,,,,78,blind channel,1572.22,,,0.259280682,0,0,,Stanwood_Camano,18030.484375,,,
67,,,,,14,blind channel,1536.773,,,3.047261715,0,0,,Stanwood_Camano,17996.986328125,,,
68,,,,,9,blind channel,1536.48,,,0.061013088,0,0,,Stanwood_Camano,17996.986328125,,,
69,,,,,16,blind channel,1578.193,,,0.069023699,0,0,,Stanwood_Camano,18038.61328125,,,
70,,,,,106,blind channel,1599.703,,,0.061013088,0,0,,Stanwood_Camano,18058.880859375,,,
71,,,,,24,blind channel,1669.803,,,2.613535643,0,0,,Stanwood_Camano,18128.73828125,,,
72,,,,,59,blind channel,1873.525,,,-0.042724464,0,0,,Stanwood_Camano,17905.41796875,,,
73,,,,,7,blind channel,1567.356,,,-0.042724464,0,0,,Stanwood_Camano,18028.3125,,,
74,,,,,17,blind channel,1551.551,,,2.476135492,0,0,,Stanwood_Camano,18011.470703125,,,
75,,,,,22,blind channel,1643.575,,,-0.042724464,0,0,,Stanwood_Camano,18102.83984375,,,
76,,,,,28,blind channel,1580.377,,,-0.042724464,0,0,,Stanwood_Camano,18040.140625,,,
77,,,,,17,blind channel,1592.628,,,1.762404919,0,0,,Stanwood_Camano,18053.341796875,,,
78,,,,,65,blind channel,1857.004,,,0.035254963,0,0,,Stanwood_Camano,17889.103515625,,,
79,,,,,19,blind channel,1521.545,,,-0.042724464,0,0,,Stanwood_Camano,17982.2578125,,,
80,,,,,143,blind channel,1560.048,,,0.51632309,0,0,,Stanwood_Camano,18018.7265625,,,
81,,,,,128,blind channel,1586.318,,,0.035254963,0,0,,Stanwood_Camano,18045.49609375,,,
82,,,,,18,blind channel,1592.276,,,0.035254963,0,0,,Stanwood_Camano,18051.625,,,
83,,,,,15,blind channel,1565.829,,,0.035254963,0,0,,Stanwood_Camano,18025.95703125,,,
84,,,,,17,blind channel,1552.113,,,0.081087261,0,0,,Stanwood_Camano,18013.484375,,,
85,,,,,76,blind channel,1841.191,,,0.081087261,0,0,,Stanwood_Camano,17872.791015625,,,
86,,,,,24,blind channel,1603.812,,,0.104999542,0,0,,Stanwood_Camano,18062.283203125,,,
87,,,,,26,blind channel,1629.504,,,0.065339237,0,0,,Stanwood_Camano,18087.767578125,,,
88,,,,,9,blind channel,1606.749,,,-0.011391363,0,0,,Stanwood_Camano,18066.755859375,,,
89,,,,,16,blind channel,1507.631,,,-0.011391363,0,0,,Stanwood_Camano,17967.84375,,,
90,,,,,99,blind channel,1571.762,,,0.081087261,0,0,,Stanwood_Camano,18030.939453125,,,
91,,,,,127,blind channel,1545.048,,,0.081087261,0,0,,Stanwood_Camano,18003.7265625,,,
92,,,,,67,blind channel,1825.377,,,0.104999542,0,0,,Stanwood_Camano,17857.0625,,,
93,,,,,15,blind channel,1540.542,,,0.065339237,0,0,,Stanwood_Camano,18000.998046875,,,
94,,,,,18,blind channel,1616.676,,,1.041548371,0,0,,Stanwood_Camano,18074.939453125,,,
95,,,,,8,blind channel,1509.222,,,0.081087261,0,0,,Stanwood_Camano,17969.400390625,,,
96,,,,,15,blind channel,1580.4,,,-0.011391363,0,0,,Stanwood_Camano,18041.02734375,,,
97,,,,,115,blind channel,1555.948,,,0.081087261,0,0,,Stanwood_Camano,18014.625,,,
98,,,,,61,blind channel,1809.149,,,8.080049515,0,0,,Stanwood_Camano,17841.748046875,,,
99,,,,,15,blind channel,1527.178,,,1.095287204,0,0,,Stanwood_Camano,17987.513671875,,,
100,,,,,19,blind channel,1492.509,,,-0.011391363,0,0,,Stanwood_Camano,17952.015625,,,
101,,,,,133,blind channel,1540.255,,,1.21441412,0,0,,Stanwood_Camano,17999.140625,,,
102,,,,,147,blind channel,1529.427,,,-0.011391363,0,0,,Stanwood_Camano,17988.8984375,,,
103,,,,,16,blind channel,1494.651,,,1.50933218,0,0,,Stanwood_Camano,17954.330078125,,,
104,,,,,7,blind channel,1498.098,,,5.319221497,0,0,,Stanwood_Camano,17960.58984375,,,
105,,,,,8,blind channel,1595.936,,,0.136921167,0,0,,Stanwood_Camano,18056.685546875,,,
106,,,,,55,blind channel,1793.628,,,4.007040977,0,0,,Stanwood_Camano,17825.021484375,,,
107,,,,,7,blind channel,1478.219,,,2.27094698,0,0,,Stanwood_Camano,17942.00390625,,,
108,,,,,18,blind channel,1512.572,,,2.821792126,0,0,,Stanwood_Camano,17972.78515625,,,
109,,,,,33,blind channel,1524.613,,,3.855928183,0,0,,Stanwood_Camano,17983.998046875,,,
110,,,,,122,blind channel,1523.613,,,3.524143457,0,0,,Stanwood_Camano,17982.998046875,,,
111,,,,,13,blind channel,1477.974,,,0.136921167,0,0,,Stanwood_Camano,17937.359375,,,
112,,,,,10,blind channel,1479.509,,,2.737578154,0,0,,Stanwood_Camano,17939.1875,,,
113,,,,,59,blind channel,1777.607,,,0.136921167,0,0,,Stanwood_Camano,17809.29296875,,,
114,,,,,14,blind channel,1475.267,,,2.789499044,0,0,,Stanwood_Camano,17933.9453125,,,
115,,,,,10,blind channel,1464.698,,,2.789499044,0,0,,Stanwood_Camano,17927.689453125,,,
116,,,,,16,blind channel,1484.683,,,5.252431393,0,0,,Stanwood_Camano,17946.345703125,,,
117,,,,,2,blind channel,1464.734,,,6.180028439,0,0,,Stanwood_Camano,17927.931640625,,,
118,,,,,9,blind channel,1461.198,,,0.136921167,0,0,,Stanwood_Camano,17924.689453125,,,
119,,,,,16,blind channel,1498.086,,,1.907704949,0,0,,Stanwood_Camano,17957.88671875,,,
120,,,,,50,blind channel,1761.88,,,4.715801239,0,0,,Stanwood_Camano,17793.978515625,,,
121,,,,,191,blind channel,1509.643,,,0.136921167,0,0,,Stanwood_Camano,17968.61328125,,,
122,,,,,15,blind channel,1470.198,,,5.282355785,0,0,,Stanwood_Camano,17931.861328125,,,
123,,,,,10,blind channel,1455.784,,,6.157612801,0,0,,Stanwood_Camano,17917.447265625,,,
124,,,,,18,blind channel,1460.403,,,2.022041082,0,0,,Stanwood_Camano,17920.287109375,,,
125,,,,,14,blind channel,1453.37,,,6.157612801,0,0,,Stanwood_Camano,17915.033203125,,,
126,,,,,9,blind channel,1489.829,,,6.946547508,0,0,,Stanwood_Camano,17948.88671875,,,
127,,,,,43,blind channel,1746.151,,,0.04365211,0,0,,Stanwood_Camano,17778.251953125,,,
128,,,,,182,blind channel,1495.672,,,6.828761101,0,0,,Stanwood_Camano,17955.056640625,,,
129,,,,,17,blind channel,1483.222,,,7.655647755,0,0,,Stanwood_Camano,17941.814453125,,,
130,,,,,19,blind channel,1439.506,,,0.04365211,0,0,,Stanwood_Camano,17901.376953125,,,
131,,,,,16,blind channel,1476.601,,,2.20642066,0,0,,Stanwood_Camano,17935.158203125,,,
132,,,,,10,blind channel,1462.148,,,6.946547508,0,0,,Stanwood_Camano,17925.447265625,,,
133,,,,,11,blind channel,2571.535,,,6.454844475,0,0,,Stanwood_Camano,19007.353515625,,,
134,,,,,39,blind channel,2493.943,,,6.338541508,0,0,,Stanwood_Camano,18928.068359375,,,
135,,,,,79,blind channel,2478.337,,,3.456450224,0,0,,Stanwood_Camano,18913.169921875,,,
136,,,,,21,blind channel,2558.414,,,2.486422539,0,0,,Stanwood_Camano,18992.6953125,,,
137,,,,,82,blind channel,2464.073,,,5.252431393,0,0,,Stanwood_Camano,18898.61328125,,,
138,,,,,18,blind channel,2543.222,,,7.004788399,0,0,,Stanwood_Camano,18977.796875,,,
139,,,,,74,blind channel,2448.345,,,2.486422539,0,0,,Stanwood_Camano,18881.884765625,,,
140,,,,,17,blind channel,2529.822,,,5.252431393,0,0,,Stanwood_Camano,18964.310546875,,,
141,,,,,9,blind channel,2410.682,,,6.180028439,0,0,,Stanwood_Camano,18844.015625,,,
142,,,,,78,blind channel,2432.617,,,6.180028439,0,0,,Stanwood_Camano,18866.15625,,,
143,,,,,21,blind channel,2516.837,,,5.252431393,0,0,,Stanwood_Camano,18951.826171875,,,
144,,,,,74,blind channel,2416.804,,,0.136921167,0,0,,Stanwood_Camano,18850.84375,,,
145,,,,,15,blind channel,2395.576,,,2.404345274,0,0,,Stanwood_Camano,18829.701171875,,,
146,,,,,17,blind channel,2503.644,,,5.252431393,0,0,,Stanwood_Camano,18938.51171875,,,
147,,,,,72,blind channel,2400.49,,,5.252431393,0,0,,Stanwood_Camano,18834.529296875,,,
148,,,,,31,blind channel,2381.212,,,5.252431393,0,0,,Stanwood_Camano,18815.458984375,,,
149,,,,,18,blind channel,2489.038,,,0.04365211,0,0,,Stanwood_Camano,18924.19921875,,,
150,,,,,40,blind channel,2384.676,,,7.004788399,0,0,,Stanwood_Camano,18818.216796875,,,
151,,,,,28,blind channel,2381.555,,,2.55335784,0,0,,Stanwood_Camano,18815.80078125,,,
152,,,,,16,blind channel,2474.638,,,5.252431393,0,0,,Stanwood_Camano,18909.712890625,,,
153,,,,,74,blind channel,2365.741,,,2.516756058,0,0,,Stanwood_Camano,18799.48828125,,,
154,,,,,16,blind channel,2459.91,,,6.180028439,0,0,,Stanwood_Camano,18894.5703125,,,
155,,,,,9,blind channel,2283.064,,,5.787344456,0,0,,Stanwood_Camano,18717.103515625,,,
156,,,,,64,blind channel,2349.928,,,2.55335784,0,0,,Stanwood_Camano,18784.173828125,,,
157,,,,,13,blind channel,2374.57,,,2.614997864,0,0,,Stanwood_Camano,18809.31640625,,,
158,,,,,15,blind channel,2445.597,,,5.252431393,0,0,,Stanwood_Camano,18880.671875,,,
159,,,,,7,blind channel,2307.315,,,0.04365211,0,0,,Stanwood_Camano,18741.0625,,,
160,,,,,16,blind channel,2266.957,,,0.04365211,0,0,,Stanwood_Camano,18700.7890625,,,
161,,,,,66,blind channel,2333.821,,,8.366235733,0,0,,Stanwood_Camano,18767.861328125,,,
162,,,,,9,blind channel,2389.505,,,7.216662884,0,0,,Stanwood_Camano,18824.458984375,,,
163,,,,,12,blind channel,2430.369,,,2.610886097,0,0,,Stanwood_Camano,18864.529296875,,,
164,,,,,75,blind channel,2318.3,,,7.004788399,0,0,,Stanwood_Camano,18752.1328125,,,
165,,,,,19,blind channel,2251.315,,,0.04365211,0,0,,Stanwood_Camano,18685.0625,,,
166,,,,,11,blind channel,2423.005,,,5.918924332,0,0,,Stanwood_Camano,18857.873046875,,,
167,,,,,16,blind channel,2292.244,,,6.180028439,0,0,,Stanwood_Camano,18725.990234375,,,
168,,,,,52,blind channel,2302.194,,,2.660273552,0,0,,Stanwood_Camano,18736.232421875,,,
169,,,,,20,blind channel,2235.587,,,7.774990082,0,0,,Stanwood_Camano,18670.333984375,,,
170,,,,,43,blind channel,2295.744,,,8.429554939,0,0,,Stanwood_Camano,18729.576171875,,,
171,,,,,12,blind channel,2407.277,,,7.6842103,0,0,,Stanwood_Camano,18842.14453125,,,
172,,,,,9,blind channel,2295.83,,,5.576770306,0,0,,Stanwood_Camano,18729.576171875,,,
173,,,,,24,blind channel,2280.173,,,2.649436712,0,0,,Stanwood_Camano,18713.919921875,,,
174,,,,,40,blind channel,2279.673,,,7.744472027,0,0,,Stanwood_Camano,18713.505859375,,,
175,,,,,12,blind channel,2398.206,,,0.04365211,0,0,,Stanwood_Camano,18833.07421875,,,
176,,,,,20,blind channel,2220.359,,,7.6842103,0,0,,Stanwood_Camano,18654.19140625,,,
177,,,,,17,blind channel,2309.936,,,7.849022865,0,0,,Stanwood_Camano,18743.890625,,,
178,,,,,14,blind channel,2382.22,,,7.849022865,0,0,,Stanwood_Camano,18816.587890625,,,
179,,,,,16,blind channel,2325.093,,,5.42074728,0,0,,Stanwood_Camano,18759.546875,,,
180,,,,,64,blind channel,2263.359,,,7.888456345,0,0,,Stanwood_Camano,18697.19140625,,,
181,,,,,17,blind channel,2368.356,,,8.206017494,0,0,,Stanwood_Camano,18803.931640625,,,
182,,,,,8,blind channel,2233.181,,,7.546303749,0,0,,Stanwood_Camano,18666.806640625,,,
183,,,,,25,blind channel,2204.717,,,6.510480404,0,0,,Stanwood_Camano,18638.462890625,,,
184,,,,,15,blind channel,2353.285,,,5.42074728,0,0,,Stanwood_Camano,18787.447265625,,,
185,,,,,62,blind channel,2247.338,,,7.971253872,0,0,,Stanwood_Camano,18680.876953125,,,
186,,,,,16,blind channel,2337.836,,,7.849022865,0,0,,Stanwood_Camano,18771.7890625,,,
187,,,,,39,blind channel,2190.161,,,7.744472027,0,0,,Stanwood_Camano,18623.90625,,,
188,,,,,62,blind channel,2231.439,,,0.051804788,0,0,,Stanwood_Camano,18664.978515625,,,
189,,,,,12,blind channel,2217.403,,,7.849022865,0,0,,Stanwood_Camano,18651.736328125,,,
190,,,,,33,blind channel,2215.039,,,4.693865776,0,0,,Stanwood_Camano,18649.078125,,,
191,,,,,35,blind channel,2213.832,,,7.021014214,0,0,,Stanwood_Camano,18648.078125,,,
192,,,,,56,blind channel,2175.104,,,7.80482626,0,0,,Stanwood_Camano,18609.3515625,,,
193,,,,,65,blind channel,2197.847,,,7.949293137,0,0,,Stanwood_Camano,18631.1796875,,,
194,,,,,55,blind channel,2181.655,,,5.884212494,0,0,,Stanwood_Camano,18615.693359375,,,
195,,,,,7,blind channel,2272.936,,,6.89474535,0,0,,Stanwood_Camano,18707.0625,,,
196,,,,,38,blind channel,2162.826,,,6.243229866,0,0,,Stanwood_Camano,18596.865234375,,,
197,,,,,53,blind channel,2165.619,,,6.89474535,0,0,,Stanwood_Camano,18599.451171875,,,
198,,,,,62,blind channel,2162.412,,,4.41198349,0,0,,Stanwood_Camano,18596.451171875,,,
199,,,,,16,blind channel,2257.708,,,5.884212494,0,0,,Stanwood_Camano,18692.333984375,,,
200,,,,,100,blind channel,2148.184,,,0.021619191,0,0,,Stanwood_Camano,18581.72265625,,,
201,,,,,126,blind channel,2142.32,,,6.89474535,0,0,,Stanwood_Camano,18576.06640625,,,
202,,,,,15,blind channel,2243.395,,,7.021014214,0,0,,Stanwood_Camano,18677.43359375,,,
203,,,,,55,blind channel,2142.784,,,7.021014214,0,0,,Stanwood_Camano,18576.82421875,,,
204,,,,,123,blind channel,2127.764,,,5.884212494,0,0,,Stanwood_Camano,18561.509765625,,,
205,,,,,15,blind channel,2228.96,,,4.693865776,0,0,,Stanwood_Camano,18662.291015625,,,
206,,,,,50,blind channel,2156.841,,,4.162529469,0,0,,Stanwood_Camano,18591.380859375,,,
207,,,,,104,blind channel,2112.914,,,4.838977337,0,0,,Stanwood_Camano,18545.953125,,,
208,,,,,20,blind channel,2213.025,,,4.162529469,0,0,,Stanwood_Camano,18647.564453125,,,
209,,,,,26,blind channel,2172.655,,,4.838977337,0,0,,Stanwood_Camano,18606.693359375,,,
210,,,,,29,blind channel,2175.069,,,6.243229866,0,0,,Stanwood_Camano,18609.107421875,,,
211,,,,,20,blind channel,2174.483,,,4.693865776,0,0,,Stanwood_Camano,18608.521484375,,,
212,,,,,24,blind channel,2197.504,,,6.779371262,0,0,,Stanwood_Camano,18630.8359375,,,
213,,,,,4,blind channel,2202.297,,,5.884212494,0,0,,Stanwood_Camano,18636.8359375,,,
214,,,,,78,blind channel,2097.479,,,6.243229866,0,0,,Stanwood_Camano,18531.2265625,,,
215,,,,,64,blind channel,2190.882,,,7.021014214,0,0,,Stanwood_Camano,18624.421875,,,
216,,,,,62,blind channel,2091.03,,,8.741709709,0,0,,Stanwood_Camano,18524.568359375,,,
217,,,,,14,blind channel,2091.151,,,5.196266174,0,0,,Stanwood_Camano,18525.3984375,,,
218,,,,,37,blind channel,2193.297,,,5.196266174,0,0,,Stanwood_Camano,18626.8359375,,,
219,,,,,20,blind channel,2198.454,,,8.653219223,0,0,,Stanwood_Camano,18632.4921875,,,
220,,,,,17,blind channel,2105.515,,,5.974173069,0,0,,Stanwood_Camano,18540.46875,,,
221,,,,,20,blind channel,2190.64,,,3.840532064,0,0,,Stanwood_Camano,18624.765625,,,
222,,,,,14,blind channel,2119.879,,,0.021619191,0,0,,Stanwood_Camano,18554.125,,,
223,,,,,5,blind channel,2199.504,,,4.162529469,0,0,,Stanwood_Camano,18633.8359375,,,
224,,,,,97,blind channel,2075.509,,,3.840532064,0,0,,Stanwood_Camano,18509.255859375,,,
225,,,,,14,blind channel,2195.761,,,6.243229866,0,0,,Stanwood_Camano,18629.59375,,,
226,,,,,9,blind channel,2132.985,,,4.838977337,0,0,,Stanwood_Camano,18567.611328125,,,
227,,,,,23,blind channel,2211.075,,,5.196266174,0,0,,Stanwood_Camano,18644.90625,,,
228,,,,,91,blind channel,2059.488,,,6.243229866,0,0,,Stanwood_Camano,18492.52734375,,,
229,,,,,18,blind channel,2226.096,,,6.31629324,0,0,,Stanwood_Camano,18660.806640625,,,
230,,,,,75,blind channel,2043.174,,,8.653219223,0,0,,Stanwood_Camano,18477.212890625,,,
231,,,,,12,blind channel,2242.788,,,6.243229866,0,0,,Stanwood_Camano,18677.70703125,,,
232,,,,,15,blind channel,2478.178,,,4.569320202,0,0,,Stanwood_Camano,19259.193359375,,,
233,,,,,50,blind channel,2027.361,,,4.838977337,0,0,,Stanwood_Camano,18460.900390625,,,
234,,,,,16,blind channel,2463.057,,,8.516844749,0,0,,Stanwood_Camano,19243.365234375,,,
235,,,,,8,blind channel,2306.366,,,6.369113922,0,0,,Stanwood_Camano,18766.630859375,,,
236,,,,,17,blind channel,2447.228,,,4.411549568,0,0,,Stanwood_Camano,19227.537109375,,,
237,,,,,8,blind channel,2442.314,,,6.306340218,0,0,,Stanwood_Camano,19222.537109375,,,
238,,,,,47,blind channel,2021.825,,,3.840532064,0,0,,Stanwood_Camano,18456.072265625,,,
239,,,,,3,blind channel,2296.073,,,5.196266174,0,0,,Stanwood_Camano,18756.044921875,,,
240,,,,,11,blind channel,2023.739,,,6.31629324,0,0,,Stanwood_Camano,18457.486328125,,,
241,,,,,10,blind channel,2292.331,,,6.243229866,0,0,,Stanwood_Camano,18752.216796875,,,
242,,,,,8,blind channel,2291.831,,,6.243229866,0,0,,Stanwood_Camano,18752.216796875,,,
243,,,,,19,blind channel,2433.208,,,6.243229866,0,0,,Stanwood_Camano,19213.22265625,,,
244,,,,,14,blind channel,2429.379,,,6.243229866,0,0,,Stanwood_Camano,19209.80859375,,,
245,,,,,18,blind channel,2038.639,,,3.840532064,0,0,,Stanwood_Camano,18472.384765625,,,
246,,,,,17,blind channel,2233.245,,,7.439918041,0,0,,Stanwood_Camano,18693.630859375,,,
247,,,,,9,blind channel,2248.659,,,-0.014317365,0,0,,Stanwood_Camano,18709.458984375,,,
248,,,,,51,blind channel,2005.718,,,8.442192078,0,0,,Stanwood_Camano,18438.7578125,,,
249,,,,,17,blind channel,2053.003,,,7.439918041,0,0,,Stanwood_Camano,18486.45703125,,,
250,,,,,19,blind channel,2418.015,,,3.932497025,0,0,,Stanwood_Camano,19197.73828125,,,
251,,,,,16,blind channel,2218.174,,,5.936873436,0,0,,Stanwood_Camano,18677.55859375,,,
252,,,,,8,blind channel,2416.308,,,8.516844749,0,0,,Stanwood_Camano,19196.32421875,,,
253,,,,,19,blind channel,2278.002,,,8.538036346,0,0,,Stanwood_Camano,18737.97265625,,,
254,,,,,56,blind channel,1999.683,,,3.840532064,0,0,,Stanwood_Camano,18432.9296875,,,
255,,,,,18,blind channel,2262.552,,,7.036238194,0,0,,Stanwood_Camano,18722.31640625,,,
256,,,,,16,blind channel,2442.344,,,7.090343952,0,0,,Stanwood_Camano,19221.56640625,,,
257,,,,,13,blind channel,2006.926,,,7.346617222,0,0,,Stanwood_Camano,18440.171875,,,
258,,,,,17,blind channel,2202.774,,,8.457349777,0,0,,Stanwood_Camano,18662.66015625,,,
259,,,,,8,blind channel,2457.672,,,6.193961143,0,0,,Stanwood_Camano,19237.39453125,,,
260,,,,,20,blind channel,2246.931,,,3.840532064,0,0,,Stanwood_Camano,18706.48828125,,,
261,,,,,15,blind channel,2427.222,,,7.090343952,0,0,,Stanwood_Camano,19206.73828125,,,
262,,,,,19,blind channel,2231.724,,,6.972994804,0,0,,Stanwood_Camano,18691.48828125,,,
263,,,,,22,blind channel,2216.603,,,7.090343952,0,0,,Stanwood_Camano,18675.66015625,,,
264,,,,,13,blind channel,2406.479,,,7.346617222,0,0,,Stanwood_Camano,19185.080078125,,,
265,,,,,16,blind channel,2067.781,,,8.442192078,0,0,,Stanwood_Camano,18501.52734375,,,
266,,,,,20,blind channel,2200.567,,,-0.043998711,0,0,,Stanwood_Camano,18659.83203125,,,
267,,,,,20,blind channel,2403.444,,,6.193961143,0,0,,Stanwood_Camano,19181.837890625,,,
268,,,,,12,blind channel,2413.479,,,8.053030968,0,0,,Stanwood_Camano,19192.494140625,,,
269,,,,,8,blind channel,2408.979,,,8.016016006,0,0,,Stanwood_Camano,19188.494140625,,,
270,,,,,25,blind channel,2388.737,,,7.346617222,0,0,,Stanwood_Camano,19167.837890625,,,
271,,,,,8,blind channel,2022.825,,,7.090343952,0,0,,Stanwood_Camano,18456.072265625,,,
