id,cnt,chk,ein,eout,area_m2,habitat,path_med,path_min,path_max,elev_m,edge
183,,,,,18,blind channel,2448.289,2448.289,2448.289,3.73172,0
184,,,,,13,blind channel,2398.233,2398.233,2398.233,5.5609479,0
185,,,,,18,blind channel,2462.496,2462.496,2462.496,4.4591579,0
186,,,,,25,blind channel,2390.526,2390.526,2390.526,3.4506979,0
187,,,,,18,blind channel,2471.012,2471.012,2471.012,7.327621,0
188,,,,,6,blind channel,2373.745,2373.745,2373.745,6.8278809,0
189,,,,,19,blind channel,2456.184,2456.184,2456.184,7.4653568,0
190,,,,,20,blind channel,2198.454,2198.454,2198.454,0.1675285,0
191,,,,,13,blind channel,2397.749,2397.749,2397.749,6.6546941,0
192,,,,,18,blind channel,2440.977,2440.977,2440.977,6.7084932,0
193,,,,,17,blind channel,2426.27,2426.27,2426.27,6.6546941,0
194,,,,,17,blind channel,2105.515,2105.515,2105.515,0.1049995,0
195,,,,,13,blind channel,2369.624,2369.624,2369.624,6.8278809,0
196,,,,,20,blind channel,2190.64,2190.64,2190.64,0.0653392,0
197,,,,,33,blind channel,2375.212,2375.212,2375.212,3.388942,0
198,,,,,18,blind channel,2395.628,2395.628,2395.628,6.6546941,0
199,,,,,22,blind channel,2381.006,2381.006,2381.006,6.6546941,0
200,,,,,15,blind channel,2370.573,2370.573,2370.573,6.8278809,0
201,,,,,15,blind channel,2401.335,2401.335,2401.335,6.6546941,0
202,,,,,14,blind channel,2119.879,2119.879,2119.879,1.871841,0
203,,,,,5,blind channel,2199.504,2199.504,2199.504,0.1675285,0
204,,,,,97,blind channel,2075.509,2075.509,2075.509,-0.0113914,0
205,,,,,14,blind channel,2195.761,2195.761,2195.761,0.1675285,0
206,,,,,15,blind channel,2363.381,2363.381,2363.381,6.7207408,0
207,,,,,16,blind channel,2416.441,2416.441,2416.441,7.1741219,0
208,,,,,13,blind channel,2357.553,2357.553,2357.553,6.6303139,0
209,,,,,36,blind channel,2365.313,2365.313,2365.313,3.388942,0
210,,,,,35,blind channel,2377.605,2377.605,2377.605,3.3985679,0
211,,,,,9,blind channel,2132.985,2132.985,2132.985,8.3751593,0
212,,,,,19,blind channel,2367.521,2367.521,2367.521,6.6546941,0
213,,,,,23,blind channel,2362.691,2362.691,2362.691,3.3104191,0
214,,,,,18,blind channel,2352.053,2352.053,2352.053,6.6303139,0
215,,,,,17,blind channel,2432.427,2432.427,2432.427,8.0564623,0
216,,,,,44,blind channel,2390.264,2390.264,2390.264,3.564074,0
217,,,,,23,blind channel,2211.075,2211.075,2211.075,1.116497,0
218,,,,,91,blind channel,2059.488,2059.488,2059.488,-0.0113914,0
219,,,,,43,blind channel,2374.728,2374.728,2374.728,3.73172,0
220,,,,,49,blind channel,2347.585,2347.585,2347.585,3.238827,0
221,,,,,17,blind channel,2358.864,2358.864,2358.864,4.1952281,0
222,,,,,18,blind channel,2358.157,2358.157,2358.157,4.1952281,0
223,,,,,18,blind channel,2226.096,2226.096,2226.096,1.214414,0
224,,,,,15,blind channel,2447.24,2447.24,2447.24,7.5525789,0
225,,,,,19,blind channel,2353.622,2353.622,2353.622,4.3670001,0
226,,,,,10,blind channel,2360.657,2360.657,2360.657,4.1952281,0
227,,,,,16,blind channel,2338.153,2338.153,2338.153,0.6104054,0
228,,,,,20,blind channel,2339.293,2339.293,2339.293,4.2057319,0
229,,,,,75,blind channel,2043.174,2043.174,2043.174,-0.0113914,0
230,,,,,12,blind channel,2242.788,2242.788,2242.788,1.503598,0
231,,,,,25,blind channel,2342.051,2342.051,2342.051,4.1952281,0
232,,,,,52,blind channel,2331.892,2331.892,2331.892,3.1351061,0
233,,,,,16,blind channel,2460.64,2460.64,2460.64,6.9280381,0
234,,,,,15,blind channel,2473.761,2473.761,2473.761,7.63903,0
235,,,,,8,blind channel,2488.176,2488.176,2488.176,8.1082649,0
236,,,,,12,blind channel,2324.547,2324.547,2324.547,0.554462,0
237,,,,,14,blind channel,2325.151,2325.151,2325.151,4.1952281,0
238,,,,,16,blind channel,2493.921,2493.921,2493.921,5.9711251,0
239,,,,,16,blind channel,2374.471,2374.471,2374.471,4.1952281,0
240,,,,,22,blind channel,2328.151,2328.151,2328.151,4.1952281,0
241,,,,,11,blind channel,2318.183,2318.183,2318.183,0.554462,0
242,,,,,28,blind channel,2324.03,2324.03,2324.03,4.1952281,0
243,,,,,15,blind channel,2478.178,2478.178,2478.178,5.4867759,0
244,,,,,8,blind channel,2508.163,2508.163,2508.163,6.9280381,0
245,,,,,35,blind channel,2309.494,2309.494,2309.494,4.2057319,0
246,,,,,1,distributary channel,2315.597,2315.597,2315.597,0.554462,0
247,,,,,50,blind channel,2027.361,2027.361,2027.361,0.1369212,0
248,,,,,16,blind channel,2463.057,2463.057,2463.057,4.0260792,0
249,,,,,285,impoundment,2271.966,2271.966,2271.966,2.209841,0
250,,,,,8,blind channel,2306.366,2306.366,2306.366,2.8217919,0
251,,,,,17,blind channel,2447.228,2447.228,2447.228,3.8382671,0
252,,,,,35,blind channel,2298.544,2298.544,2298.544,4.2057319,0
253,,,,,47,blind channel,2317.15,2317.15,2317.15,2.933006,0
254,,,,,8,blind channel,2442.314,2442.314,2442.314,3.524143,0
255,,,,,47,blind channel,2021.825,2021.825,2021.825,0.1369212,0
256,,,,,15,blind channel,2388.492,2388.492,2388.492,8.5461559,0
257,,,,,8,blind channel,2403.492,2403.492,2403.492,8.8520737,0
258,,,,,3,blind channel,2296.073,2296.073,2296.073,2.7198949,0
259,,,,,11,blind channel,2023.739,2023.739,2023.739,0.1369212,0
260,,,,,26,blind channel,2283.888,2283.888,2283.888,4.3670001,0
261,,,,,10,blind channel,2292.331,2292.331,2292.331,2.792676,0
262,,,,,15,blind channel,2338.101,2338.101,2338.101,4.1952281,0
263,,,,,8,blind channel,2291.831,2291.831,2291.831,2.792676,0
264,,,,,19,blind channel,2433.208,2433.208,2433.208,5.8331461,0
265,,,,,14,blind channel,2429.379,2429.379,2429.379,6.180028,0
266,,,,,3759,distributary channel,2323.425,2323.425,2323.425,0.554462,0
267,,,,,18,blind channel,2038.639,2038.639,2038.639,0.1369212,0
268,,,,,31,blind channel,2269.988,2269.988,2269.988,4.9485478,0
269,,,,,17,blind channel,2233.245,2233.245,2233.245,1.9077049,0
270,,,,,9,blind channel,2248.659,2248.659,2248.659,4.715816,0
271,,,,,16,blind channel,2310.201,2310.201,2310.201,4.2057319,0
272,,,,,51,blind channel,2005.718,2005.718,2005.718,0.1369212,0
273,,,,,43,blind channel,2302.943,2302.943,2302.943,2.933006,0
274,,,,,17,blind channel,2053.003,2053.003,2053.003,5.3038001,0
275,,,,,19,blind channel,2418.015,2418.015,2418.015,6.1576128,0
276,,,,,8,blind channel,2353.622,2353.622,2353.622,5.7145271,0
277,,,,,16,blind channel,2218.174,2218.174,2218.174,2.0220411,0
278,,,,,8,blind channel,2416.308,2416.308,2416.308,6.1576128,0
279,,,,,19,blind channel,2278.002,2278.002,2278.002,7.4866939,0
280,,,,,27,blind channel,2257.746,2257.746,2257.746,5.0827799,0
281,,,,,56,blind channel,1999.683,1999.683,1999.683,0.0436521,0
282,,,,,26,blind channel,2268.281,2268.281,2268.281,5.0827799,0
283,,,,,36,blind channel,2272.865,2272.865,2272.865,0.5413386,0
284,,,,,18,blind channel,2262.552,2262.552,2262.552,6.8287611,0
285,,,,,16,blind channel,2442.344,2442.344,2442.344,7.6556482,0
286,,,,,13,blind channel,2006.926,2006.926,2006.926,0.0436521,0
287,,,,,17,blind channel,2202.774,2202.774,2202.774,2.2374361,0
288,,,,,8,blind channel,2457.672,2457.672,2457.672,7.6556482,0
289,,,,,15,blind channel,2323.979,2323.979,2323.979,4.5953798,0
290,,,,,20,blind channel,2246.931,2246.931,2246.931,6.454844,0
291,,,,,15,blind channel,2427.222,2427.222,2427.222,6.180028,0
292,,,,,19,blind channel,2231.724,2231.724,2231.724,3.991317,0
293,,,,,2167,distributary channel,2332.091,2332.091,2332.091,0.5577428,1
294,,,,,28,distributary channel,2267.25,2267.25,2267.25,0.5413386,0
295,,,,,22,blind channel,2216.603,2216.603,2216.603,2.486423,0
296,,,,,13,blind channel,2406.479,2406.479,2406.479,6.1576128,0
297,,,,,45,blind channel,2287.129,2287.129,2287.129,2.7155061,0
298,,,,,16,blind channel,2067.781,2067.781,2067.781,7.8884559,0
299,,,,,18,blind channel,2259.123,2259.123,2259.123,0.5380577,0
300,,,,,20,blind channel,2200.567,2200.567,2200.567,2.486423,0
301,,,,,20,blind channel,2403.444,2403.444,2403.444,5.468596,0
302,,,,,12,blind channel,2413.479,2413.479,2413.479,6.180028,0
303,,,,,31,blind channel,2282.923,2282.923,2282.923,4.819355,0
304,,,,,8,blind channel,2408.979,2408.979,2408.979,6.1576128,0
305,,,,,25,blind channel,2388.737,2388.737,2388.737,5.468596,0
306,,,,,33,blind channel,2296.63,2296.63,2296.63,4.819355,0
307,,,,,35,blind channel,2259.694,2259.694,2259.694,0.5380577,0
308,,,,,8,blind channel,2022.825,2022.825,2022.825,0.1369212,0
309,,,,,17,blind channel,2186.875,2186.875,2186.875,2.404345,0
310,,,,,34,blind channel,2325.837,2325.837,2325.837,5.098629,0
311,,,,,19,blind channel,2243.796,2243.796,2243.796,5.0827799,0
312,,,,,25,blind channel,2356.701,2356.701,2356.701,5.468596,0
313,,,,,16,blind channel,2339.086,2339.086,2339.086,8.4898472,0
314,,,,,22,blind channel,2372.323,2372.323,2372.323,5.468596,0
315,,,,,15,blind channel,2374.323,2374.323,2374.323,5.468596,0
316,,,,,46,blind channel,2311.959,2311.959,2311.959,4.819355,0
317,,,,,74,blind channel,1983.283,1983.283,1983.283,0.0436521,0
318,,,,,36,blind channel,2253.123,2253.123,2253.123,0.5380577,0
319,,,,,50,blind channel,2273.437,2273.437,2273.437,1.4197021,0
320,,,,,21,blind channel,2341.787,2341.787,2341.787,5.5767698,0
321,,,,,16,blind channel,2079.352,2079.352,2079.352,7.8884559,0
322,,,,,25,blind channel,2184.582,2184.582,2184.582,2.614814,0
323,,,,,12,blind channel,2408.979,2408.979,2408.979,5.8331461,0
324,,,,,17,blind channel,2171.304,2171.304,2171.304,2.5257931,0
325,,,,,10,blind channel,2353.572,2353.572,2353.572,8.4898472,0
326,,,,,9,blind channel,2245.589,2245.589,2245.589,6.7072902,0
327,,,,,22,blind channel,2420.5,2420.5,2420.5,6.180028,0
328,,,,,7,blind channel,2135.578,2135.578,2135.578,5.3820772,0
329,,,,,24,blind channel,2232.639,2232.639,2232.639,5.6753001,0
330,,,,,20,distributary channel,2244.38,2244.38,2244.38,0.5380301,0
331,,,,,24,blind channel,2168.89,2168.89,2168.89,2.6396,0
332,,,,,18,blind channel,2155.611,2155.611,2155.611,2.6149981,0
333,,,,,18,blind channel,2382.565,2382.565,2382.565,5.468596,0
334,,,,,83,blind channel,1970.005,1970.005,1970.005,0.0436521,0
335,,,,,9,blind channel,1970.919,1970.919,1970.919,0.0436521,0
336,,,,,1352,distributary channel,2264.221,2264.221,2264.221,0.5438748,0
337,,,,,9,blind channel,2111.537,2111.537,2111.537,8.3662357,0
338,,,,,17,blind channel,2435.814,2435.814,2435.814,7.1722341,0
339,,,,,20,blind channel,2152.611,2152.611,2152.611,2.6108861,0
340,,,,,14,blind channel,2093.18,2093.18,2093.18,7.8884559,0
341,,,,,15,blind channel,1985.955,1985.955,1985.955,0.0436521,0
342,,,,,7,blind channel,2000.576,2000.576,2000.576,8.1284504,0
343,,,,,7,blind channel,2422.894,2422.894,2422.894,6.180028,0
344,,,,,16,blind channel,2139.798,2139.798,2139.798,2.660274,0
345,,,,,7,blind channel,2153.478,2153.478,2153.478,8.0878305,0
346,,,,,18,blind channel,2121.507,2121.507,2121.507,8.4856215,0
347,,,,,12,blind channel,2219.603,2219.603,2219.603,6.7072902,0
348,,,,,20,blind channel,2450.592,2450.592,2450.592,7.6842098,0
349,,,,,21,blind channel,2396.793,2396.793,2396.793,5.5767698,0
350,,,,,18,blind channel,2137.005,2137.005,2137.005,2.649437,0
351,,,,,19,blind channel,2096.93,2096.93,2096.93,7.744472,0
352,,,,,7,blind channel,2216.603,2216.603,2216.603,6.7072902,0
353,,,,,10,blind channel,2219.518,2219.518,2219.518,6.7072902,0
354,,,,,5056,distributary channel,2238.957,2238.957,2238.957,0.5380577,0
355,,,,,84,blind channel,1954.02,1954.02,1954.02,0.0436521,0
356,,,,,11,blind channel,2457.749,2457.749,2457.749,7.6842098,0
357,,,,,17,blind channel,2463.285,2463.285,2463.285,8.2935524,0
358,,,,,12,blind channel,2470.992,2470.992,2470.992,8.2935524,0
359,,,,,658,distributary channel,2274.922,2274.922,2274.922,0.5446194,1
360,,,,,29,blind channel,2128.434,2128.434,2128.434,5.4207468,0
361,,,,,8,blind channel,2106.716,2106.716,2106.716,7.8884559,0
362,,,,,18,blind channel,2210.947,2210.947,2210.947,6.7072902,0
363,,,,,4,blind channel,2218.154,2218.154,2218.154,7.4396548,0
364,,,,,16,blind channel,2106.815,2106.815,2106.815,8.2060165,0
365,,,,,7,blind channel,2233.467,2233.467,2233.467,7.4396548,0
366,,,,,16,blind channel,2138.442,2138.442,2138.442,7.5463042,0
367,,,,,18,blind channel,2410.864,2410.864,2410.864,6.5104799,0
368,,,,,16,blind channel,2195.668,2195.668,2195.668,7.200191,0
369,,,,,33,blind channel,2113.034,2113.034,2113.034,5.4207468,0
370,,,,,7,blind channel,2485.305,2485.305,2485.305,7.9712539,0
371,,,,,7,blind channel,2475.563,2475.563,2475.563,8.2935524,0
372,,,,,24,blind channel,2081.93,2081.93,2081.93,7.744472,0
373,,,,,18,blind channel,2190.304,2190.304,2190.304,7.200191,0
374,,,,,92,blind channel,1938.035,1938.035,1938.035,0.0838135,0
375,,,,,8,blind channel,2473.527,2473.527,2473.527,8.5021086,0
376,,,,,1142,distributary channel,2248.537,2248.537,2248.537,0.5380577,1
377,,,,,12,blind channel,2196.34,2196.34,2196.34,7.200191,0
378,,,,,33,blind channel,2098.599,2098.599,2098.599,4.735672,0
379,,,,,17,blind channel,2123.629,2123.629,2123.629,7.0210142,0
380,,,,,17,blind channel,2091.279,2091.279,2091.279,7.8048258,0
381,,,,,11,blind channel,2425.314,2425.314,2425.314,7.9492931,0
382,,,,,20,blind channel,2268.203,2268.203,2268.203,5.884212,0
383,,,,,18,blind channel,2175.991,2175.991,2175.991,7.200191,0
384,,,,,17,blind channel,2078.123,2078.123,2078.123,6.8947449,0
385,,,,,18,blind channel,2282.481,2282.481,2282.481,6.2432299,0
386,,,,,21,blind channel,2066.395,2066.395,2066.395,6.648665,0
387,,,,,27,blind channel,2083.871,2083.871,2083.871,4.411983,0
